Date	Ticker	Change %	Stock Exchange
2026-06-17	ELWT	-8.76	nasdaq stocks
2026-06-17	DUKR	-8.727	nasdaq stocks
2026-06-17	CVNA	-8.674	nyse stocks
2026-06-17	RXO	-8.649	nyse stocks
2026-06-17	DKNG	-8.465	nasdaq stocks
2026-06-17	ATOM	-8.399	nasdaq stocks
2026-06-17	APPS	-8.395	nasdaq stocks
2026-06-17	OUST	-8.309	nasdaq stocks
2026-06-17	MBLY	-8.237	nasdaq stocks
2026-06-17	HPP	-8.151	nyse stocks
2026-06-17	CCOI	-8.113	nasdaq stocks
2026-06-17	EXOD	-8.089	nysemkt stocks
2026-06-17	POET	-7.963	nasdaq stocks
2026-06-17	CSPI	-7.909	nasdaq stocks
2026-06-17	ERNA	-7.825	nasdaq stocks
2026-06-17	AGL	-7.763	nyse stocks
2026-06-17	CAL	-7.755	nyse stocks
2026-06-17	SMTC	-7.552	nasdaq stocks
2026-06-17	RH	-7.506	nyse stocks
2026-06-17	CLPT	-7.468	nasdaq stocks
2026-06-17	SAIL	-7.428	nasdaq stocks
2026-06-17	BLSH	-7.376	nyse stocks
2026-06-17	ASTI	-7.335	nasdaq stocks
2026-06-17	IDR	-7.323	nysemkt stocks
2026-06-17	SEDG	-7.322	nasdaq stocks
2026-06-17	ADBU	-7.292	nyse stocks
2026-06-17	RGTIW	-7.26	nasdaq stocks
2026-06-17	HCAI	-7.239	nasdaq stocks
2026-06-17	AOSL	-7.204	nasdaq stocks
2026-06-17	SENS	-7.202	nasdaq stocks
2026-06-17	FNKO	-7.201	nasdaq stocks
2026-06-17	CDE	-7.052	nyse stocks
2026-06-17	UPBD	-7.031	nasdaq stocks
2026-06-17	YSS	-6.97	nyse stocks
2026-06-17	PI	-6.969	nasdaq stocks
2026-06-17	AP	-6.969	nyse stocks
2026-06-17	SATS	-6.892	nasdaq stocks
2026-06-17	WYFI	-6.887	nasdaq stocks
2026-06-17	ENRD	-6.863	nasdaq stocks
2026-06-17	AADX	-6.86	nyse stocks
2026-06-17	HTLD	-6.827	nasdaq stocks
2026-06-17	HELE	-6.807	nasdaq stocks
2026-06-17	EYE	-6.804	nasdaq stocks
2026-06-17	FIGR	-6.803	nasdaq stocks
2026-06-17	WGS	-6.744	nasdaq stocks
2026-06-17	APP	-6.723	nasdaq stocks
2026-06-17	RDIB	-6.72	nasdaq stocks
2026-06-17	WFRD	-6.717	nasdaq stocks
2026-06-17	SMCI	-6.669	nasdaq stocks
2026-06-17	MH	-6.654	nyse stocks
2026-06-17	MRAM	-6.652	nasdaq stocks
2026-06-17	SAIA	-6.577	nasdaq stocks
2026-06-17	CABO	-6.552	nyse stocks
2026-06-17	CHTR	-6.522	nasdaq stocks
2026-06-17	AEYE	-6.512	nasdaq stocks
2026-06-17	NTGR	-6.489	nasdaq stocks
2026-06-17	CWH	-6.433	nyse stocks
2026-06-17	LBRDK	-6.398	nasdaq stocks
2026-06-17	ODFL	-6.378	nasdaq stocks
2026-06-17	SAH	-6.375	nyse stocks
2026-06-17	ELF	-6.374	nyse stocks
2026-06-17	EAF	-6.373	nyse stocks
2026-06-17	MPWR	-6.369	nasdaq stocks
2026-06-17	AMBQ	-6.367	nyse stocks
2026-06-17	TNDM	-6.326	nasdaq stocks
2026-06-17	CLB	-6.311	nyse stocks
2026-06-17	YETI	-6.288	nyse stocks
2026-06-17	WBTN	-6.245	nasdaq stocks
2026-06-17	XPRO	-6.238	nyse stocks
2026-06-17	APC	-6.218	nasdaq stocks
2026-06-17	AVNW	-6.18	nasdaq stocks
2026-06-17	EVLV	-6.177	nasdaq stocks
2026-06-17	MNTS	-6.157	nasdaq stocks
2026-06-17	LZ	-6.155	nasdaq stocks
2026-06-17	OLED	-6.145	nasdaq stocks
2026-06-17	PAL	-6.107	nasdaq stocks
2026-06-17	ON	-6.084	nasdaq stocks
2026-06-17	PDC	-6.046	nasdaq stocks
2026-06-17	MMED	-6.034	nasdaq stocks
2026-06-17	ZETX	-6.033	nyse stocks
2026-06-17	HLNE	-6.003	nasdaq stocks
2026-06-17	PVH	-5.979	nyse stocks
